evc,evh,percent
37,10,NA
56,20,NA
76,15,NA
47,12,NA
68,14,NA
23,7,NA
29,8,NA
22,7,NA
33,9,NA
43,18,NA
82,16,NA
57,13,NA
46,12,NA
41,15,NA
24,9,NA
40,11,NA
36,13,NA
22,8,NA
39,14,NA
33,12,NA
45,12,NA
56,13,NA
55,13,NA
27,10,NA
49,19,NA
36,10,NA
28,8,NA
42,16,NA
63,21,NA
67,14,NA
44,12,NA
42,17,NA
86,17,NA
23,8,NA
30,11,NA
32,9,NA
42,15,NA
39,11,NA
37,13,NA
40,14,NA
57,20,NA
44,18,NA
43,12,NA
27,8,NA
54,13,NA
75,15,NA
66,22,NA
31,9,NA
35,10,NA
26,8,NA
25,9,NA
24,8,NA
42,12,NA
34,12,NA
50,19,NA
66,14,NA
38,11,NA
31,11,NA
53,13,NA
28,10,NA
38,13,NA
52,13,NA
43,16,NA
41,12,NA
51,13,NA
43,17,NA
41,14,NA
43,15,NA
50,13,NA
26,9,NA
35,12,NA
30,9,NA
25,8,NA
39,13,NA
65,14,NA
81,16,NA
34,10,NA
37,11,NA
40,12,NA
47,13,NA
42,14,NA
49,13,NA
48,13,NA
42,13,NA
40,13,NA
29,10,NA
29,9,NA
28,9,NA
58,20,NA
51,19,NA
64,14,NA
36,12,NA
46,13,NA
32,11,NA
45,13,NA
27,9,NA
64,21,NA
35,11,NA
39,12,NA
74,15,NA
31,10,NA
41,13,NA
33,10,NA
43,13,NA
36,11,NA
44,13,NA
38,12,NA
30,10,NA
37,12,NA
32,10,NA
44,15,NA
44,16,NA
43,14,NA
33,11,NA
34,11,NA
46,18,NA
63,14,NA
44,14,NA
67,22,NA
45,14,NA
44,17,NA
62,14,NA
46,14,NA
52,19,NA
73,15,NA
45,18,NA
59,20,NA
45,15,NA
47,14,NA
85,17,NA
45,16,NA
61,14,NA
48,14,NA
47,18,NA
60,14,NA
80,16,NA
65,21,NA
49,14,NA
46,15,NA
45,17,NA
53,19,NA
50,14,NA
59,14,NA
51,14,NA
72,15,NA
57,14,NA
52,14,NA
53,14,NA
46,16,NA
58,14,NA
47,15,NA
55,14,NA
54,14,NA
60,20,NA
48,18,NA
46,17,NA
56,14,NA
48,15,NA
68,22,NA
71,15,NA
47,16,NA
54,19,NA
79,16,0.100964859
47,17,0.102030452
66,21,0.102485906
49,15,0.102503093
49,18,0.102906987
84,17,0.103319474
50,15,0.104771773
61,20,0.105261602
70,15,0.106473283
48,16,0.107813867
55,19,0.108131826
50,18,0.111354383
69,15,0.112926991
48,17,0.113107454
51,15,0.113434007
49,16,0.115058175
52,15,0.116304231
69,22,0.116441726
78,16,0.116519068
56,19,0.121494696
67,21,0.121795468
68,15,0.121889996
53,15,0.121907183
62,20,0.123239173
51,18,0.123763376
49,17,0.123875091
50,16,0.12569691
54,15,0.126418763
67,15,0.126960153
83,17,0.129606946
55,15,0.13097331
66,15,0.131763911
77,16,0.13264904
51,16,0.133147462
52,18,0.133525575
87,17,0.135184118
56,15,0.135742695
57,19,0.136189556
50,17,0.136834067
65,15,0.137719196
70,22,0.137959814
57,15,0.13866448
64,15,0.139790226
58,15,0.141672199
63,20,0.141783915
52,16,0.142162028
59,15,0.143141685
63,15,0.143683075
62,15,0.143872132
